,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID
389,5923,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFcGWDQEZacmxOD3dyhdzTNx17IcNbFrNVnuhRqY7mt0TBOuYIzLf1XmYV2ai7XS4SSwQhfNXkxIJYh_II,Good,1,0,Thobani Kave,,87.0.4280.101,2020-12-22,com.android.chrome
417,8524,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHU3fSPc0_LkTyisK9ES66cyWaiPc426lFbG_5w6WZWDjzZEs-orro-MOWx7OdB5S4AOdLjkoFB6tVzot8,Wont let me update,1,0,Rachel Souza,,85.0.4183.127,2020-12-24,com.android.chrome
424,8531,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHwHkZbl-Eo1ULab854cbiKE6QDaiAppPCU81ctMjngr-XrAsKPVF1AWHL6pYgxu8A5OqLag4tDSYa1qeo,Good,1,0,Hina Nayka,,83.0.4103.101,2020-12-24,com.android.chrome
499,8607,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHcssa1F7vhD-UBUkFOdT7eCuICFvvANQLSKdds8lHB7mM1lgbfiV7hIw1djJBluWEKi3tJBTlWzRYYfh0,It's not update facing problem.,1,0,R Bisht,"Hey Bisht, thanks for reaching out! We are aware of reports of this behavior, and have shared more information in our community help forum: https://goo.gle/3okKrmP. Thanks!
",83.0.4103.101,2020-12-24,com.android.chrome
540,12599,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGiEhZv3BAYUY5QTibT0uPde3Vtl9lzqZ0cvlZvgCYNcMV-VSp5yh91tc0TEQ55zYCHKBAlsYfEJI4y8tA,IT IS GOOD FOR GAMING,1,0,sarika kumari,,72.0.3626.121,2020-12-24,com.android.chrome
576,12636,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG9wFbNBKSF8bxPrx3uHvdtCLAu4CrANo9T9xBYyQUKCWNXKPPfNduignBykFj0fypqbcwW8chklgNKf5M,Nic,1,0,Vikram Deogam,,74.0.3729.136,2020-12-24,com.android.chrome
622,20387,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFdetuwn6o0MbOFmBhTH2eJpRFniHl2s4bGlSPPanx5SQPbMCv6y6eeRt0orULC9XFWIJU2IE7dZHe1oeA,Please collect information on yourselves and let me live and do as I wish without you feeling the need to know my every thought or action or reaction.. in other words don't be evil... Just do you boo,1,0,Scott T Freebird,,70.0.3538.110,2020-12-24,com.android.chrome
631,20396,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEid6clbYj_Uxbc5x3YEhRwAL-QuHJIMB13-pLz8qHjobomdjrpZE8AHgiRCtlIsXH5OnulkIeieNSXeOA,Lake,1,0,Ashutosh Prasad,,85.0.4183.127,2020-12-24,com.android.chrome
703,24318,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGTZ0S9CWF1aTI5EDbGoOBt2iCVnv8vFlJnCEZdtZBWLCs2GrOCEvq8cQNpNcy3KVADPShxem5v0r7QxTA,"The update won't download, and from the other reviews it's probably a good thing!",1,0,Gordon Graham,,87.0.4280.101,2020-12-26,com.android.chrome
775,24391,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFRPyqHBt_T4NkebxSdn0sCsIKLrigCMGeqd8y2Zb-lr3ub-JmZAeQ4v64MlloYBCBKkknj7TR46PmrHcg,Good,1,0,Jove Regalario,,81.0.4044.138,2020-12-25,com.android.chrome
807,31574,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFEjb9NVdkDPBqmA57AV2Jr34MWXf13NOaUfWEEqQUcGNM2QnG_fLleBMDVeFqIrj3lmUc_neJ-Pnta0ic,Good serving,1,0,edgardo apilado,,40.0.2214.109,2020-12-27,com.android.chrome
822,31589,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHVgKKh62WwrxtsLuvBleF9Q541601ycS8ctvLS26Fm1ahN55h7MC4JC6ghFT8PMTgzynCX6o0doE3fDXs,Fresh,1,0,qalab Abbas607607,,87.0.4280.101,2020-12-27,com.android.chrome
835,31602,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGcNL5hEEok9Wi_VOumqK4bfBpUrwr5IbcBxmSQf0px-0fW4Z63MvgG6e1DsSoyLOrf522hiXQAdtRcwhY,Excellent,1,0,Hayatudeen Rabiu,,70.0.3538.110,2020-12-26,com.android.chrome
894,31662,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG2KEOD84LV7z5Sv6JZA8pfRVW3vaU9eQ-Y2HFq905IJJ3TMm-whE3TCdKnklfty3d7JIOK8662MGwFW1E,It wont up date,1,0,Tammy Holley,,86.0.4240.99,2020-12-26,com.android.chrome
